Pose/Time (ns),Pose 1: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Pose 2: PersScore 0.277 PoseScore 2.633 DockingScore -14.718
0.695,0.664842915,0.940986922
0.696,0.664454409,0.941410427
0.697,0.664115957,0.941951049
0.698,0.663886418,0.942146984
0.699,0.663599626,0.942504117
0.7,0.663508251,0.942845122
0.701,0.663593335,0.943135125
0.702,0.663612542,0.943341682
0.703,0.663781784,0.943459501
0.704,0.663687242,0.944056782
0.705,0.663730428,0.944555892
0.706,0.663878819,0.945231881
0.707,0.66395507,0.94527141
0.708,0.664092572,0.945579414
0.709,0.664326639,0.945897883
0.71,0.664433368,0.946346386
0.711,0.664574741,0.946684033
0.712,0.664768424,0.946933417
0.713,0.664917512,0.947300888
0.714,0.665160148,0.94922405
0.715,0.665239092,0.949714664
0.716,0.665478208,0.949858373
0.717,0.665832833,0.951643538
0.718,0.665951104,0.952016278
0.719,0.666205981,0.952253995
0.72,0.666440165,0.952377893
0.721,0.666335666,0.952644719
0.722,0.666290427,0.953000739
0.723,0.666291528,0.953199092
0.724,0.666120394,0.953313898
0.725,0.666090853,0.953539109
0.726,0.666093619,0.953882591
0.727,0.666095472,0.954216011
0.728,0.666353892,0.954761149
0.729,0.666484385,0.95510971
0.73,0.666584568,0.955558958
0.731,0.666757673,0.955594483
0.732,0.667068744,0.956125221
0.733,0.667261536,0.956453628
0.734,0.66734668,0.956699062
0.735,0.667215341,0.956451957
0.736,0.667119469,0.956558858
0.737,0.667128499,0.956713283
0.738,0.667083065,0.956747011
0.739,0.666909265,0.956849095
0.74,0.66750012,0.956996997
0.741,0.667380754,0.957174445
0.742,0.667565202,0.957414413
0.743,0.667576606,0.957499981
0.744,0.667619681,0.957384733
0.745,0.667672631,0.957662999
0.746,0.667784619,0.957744432
0.747,0.667938061,0.958313271
0.748,0.667971232,0.958581936
0.749,0.668153217,0.958645629
0.75,0.668480113,0.958868797
0.751,0.668612147,0.959644142
0.752,0.668743753,0.960276778
0.753,0.668684457,0.960680819
0.754,0.668661766,0.96109939
0.755,0.668779238,0.961473383
0.756,0.668821655,0.961569704
0.757,0.668875288,0.961567936
0.758,0.668905311,0.961834691
0.759,0.668928806,0.962236316
0.76,0.668968234,0.96232472
0.761,0.669015013,0.963058064
0.762,0.669003128,0.966492876
0.763,0.669053442,0.966900185
0.764,0.669058657,0.96708773
0.765,0.669114977,0.969355169
0.766,0.669126525,0.969558195
0.767,0.66913642,0.969715636
0.768,0.669375284,0.969577812
0.769,0.669191861,0.969651498
0.77,0.669192167,0.970042141
0.771,0.669266547,0.970214897
0.772,0.669207572,0.970466137
0.773,0.669267403,0.97067172
0.774,0.669556108,0.970882775
0.775,0.66982652,0.971037928
0.776,0.669760753,0.971258841
0.777,0.669615471,0.971523734
0.778,0.669795368,0.971860661
0.779,0.670021853,0.972389247
0.78,0.670096085,0.972791761
0.781,0.670264268,0.975057915
0.782,0.670373014,0.975325956
0.783,0.670491292,0.975539317
0.784,0.670625002,0.975799176
0.785,0.670567023,0.980209146
0.786,0.670611822,0.980245628
0.787,0.670681088,0.980595961
0.788,0.670831705,0.981088306
0.789,0.670791179,0.981300036
0.79,0.670923373,0.981455446
0.791,0.671153579,0.98412522
0.792,0.671342245,0.984079727
0.793,0.671487147,0.984541384
0.794,0.671680316,0.987146468
0.795,0.671978415,0.987493675
0.796,0.672282412,0.988249444
0.797,0.672638614,0.988372212
0.798,0.672987581,0.988812034
0.799,0.673241252,0.988775347
0.8,0.673496322,0.993813561
0.801,0.673770979,0.993649807
0.802,0.674109048,0.993977849
0.803,0.674435082,0.994335572
0.804,0.674795096,0.994607681
0.805,0.675024499,0.99494132
0.806,0.675276064,0.998011116
0.807,0.675386958,0.998357755
0.808,0.675515931,0.998439524
0.809,0.675856162,0.998832173
0.81,0.676061021,0.999077658
0.811,0.67625903,0.999278068
0.812,0.676389147,0.999357232
0.813,0.676716581,1.000016402
0.814,0.676866955,1.000402696
0.815,0.677192688,1.000922975
0.816,0.677314507,1.001269951
0.817,0.677565037,1.001360897
0.818,0.677911465,1.002034911
0.819,0.678325151,1.002155912
0.82,0.678731191,1.002623614
0.821,0.67885494,1.00335581
0.822,0.679142985,1.003813683
0.823,0.679340691,1.004193647
0.824,0.679541382,1.004527876
0.825,0.679725742,1.004890048
0.826,0.679904078,1.004874624
0.827,0.680071644,1.005336222
0.828,0.680220947,1.006158894
0.829,0.680565147,1.006684273
0.83,0.680902071,1.007114796
0.831,0.681294308,1.007774057
0.832,0.681472112,1.008123982
0.833,0.681900869,1.008535634
0.834,0.682267973,1.009041786
0.835,0.68260919,1.00931907
0.836,0.682930105,1.009732672
0.837,0.683192531,1.010298661
0.838,0.683506027,1.010523733
0.839,0.683756355,1.010705871
0.84,0.684037698,1.011136781
0.841,0.684361352,1.011230007
0.842,0.684651268,1.011470838
0.843,0.684937841,1.011986328
0.844,0.685276255,1.01214426
0.845,0.68558241,1.012663525
0.846,0.685909618,1.012865557
0.847,0.686139898,1.012870242
0.848,0.686418421,1.013414599
0.849,0.686829382,1.013809607
