Pose/Time (ns),Z100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Z3932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397
0.381,1.270112525,0.658274129,0.944016031
0.382,1.270785786,0.658208778,0.944510268
0.383,1.271693151,0.658163279,0.945059749
0.384,1.272145415,0.658088432,0.945486823
0.385,1.272532318,0.657797662,0.946151683
0.386,1.273168654,0.657742273,0.946564864
0.387,1.273457119,0.65780244,0.947194593
0.388,1.273831603,0.657704114,0.947649644
0.389,1.277016006,0.657332973,0.947854881
0.39,1.277980595,0.656789931,0.948196919
0.391,1.278636095,0.656530144,0.948413051
0.392,1.279431704,0.656314585,0.948805034
0.393,1.280087559,0.655925163,0.948951767
0.394,1.283376915,0.655650136,0.949332741
0.395,1.283934441,0.655565914,0.949711001
0.396,1.285197976,0.655530171,0.94999403
0.397,1.285689065,0.655488251,0.950378776
0.398,1.28714214,0.655433801,0.950950101
0.399,1.288702436,0.654899011,0.951212043
0.4,1.289940248,0.654517836,0.951419767
0.401,1.291165337,0.654077854,0.951773441
0.402,1.292286854,0.653483945,0.952304321
0.403,1.293518222,0.653417492,0.952950773
0.404,1.294631198,0.653231935,0.953437884
0.405,1.295371261,0.652789406,0.954020141
0.406,1.296695659,0.65224853,0.954372214
0.407,1.297926828,0.651704238,0.954562917
0.408,1.2994177,0.651621022,0.955095398
0.409,1.299634461,0.65166401,0.955621906
0.41,1.300186767,0.651521783,0.956371064
0.411,1.300503503,0.651807933,0.956936298
0.412,1.301029936,0.651953714,0.957662727
0.413,1.301179422,0.652184434,0.958310749
0.414,1.301563996,0.652362947,0.958619457
0.415,1.302261354,0.652675954,0.95900101
0.416,1.302815213,0.6538019,0.959340057
0.417,1.303541341,0.654035848,0.959637919
0.418,1.304311291,0.65385248,0.95994604
0.419,1.304842859,0.653831161,0.960309557
0.42,1.305141409,0.653830183,0.960575564
0.421,1.305689344,0.654005943,0.96079838
0.422,1.306666098,0.653914208,0.961093017
0.423,1.310726775,0.654247682,0.961397251
0.424,1.314277205,0.654450899,0.961952568
0.425,1.315161812,0.654510504,0.96228411
0.426,1.315853507,0.654498994,0.962849665
0.427,1.316151875,0.654603117,0.963162458
0.428,1.316912777,0.655032408,0.9636643
0.429,1.317695572,0.65532294,0.963842942
0.43,1.318355665,0.65572845,0.964185233
0.431,1.318739654,0.656004133,0.964489221
0.432,1.322945733,0.656216084,0.964755145
0.433,1.323781784,0.656560238,0.965307323
0.434,1.324431983,0.656798641,0.965654162
0.435,1.324892368,0.65708585,0.965950726
0.436,1.325221431,0.657135538,0.96632689
0.437,1.329456497,0.657173151,0.966773934
0.438,1.330414776,0.657310003,0.967224021
0.439,1.338906829,0.657470404,0.967778504
0.44,1.339555932,0.657513281,0.968355304
0.441,1.340028756,0.657685242,0.968858038
0.442,1.340687256,0.657567184,0.969420236
0.443,1.341277266,0.657837152,0.971674759
0.444,1.341409459,0.657716619,0.972207362
0.445,1.342473316,0.657991367,0.97278012
0.446,1.343249358,0.658379233,0.973230682
0.447,1.34376726,0.658736432,0.973848089
0.448,1.34441195,0.659052329,0.974443975
0.449,1.345557534,0.659601501,0.975101116
0.45,1.345970708,0.65993529,0.975696288
0.451,1.346680151,0.660023532,0.976256695
0.452,1.347513491,0.660147615,0.976919174
0.453,1.34851864,0.660431813,0.977111919
0.454,1.349481614,0.660718114,0.977181166
0.455,1.356480057,0.6610115,0.977361058
0.456,1.356993545,0.661310712,0.977611006
0.457,1.357894797,0.661381159,0.97788935
0.458,1.358453982,0.661738608,0.978199212
0.459,1.359631303,0.661823384,0.978547542
0.46,1.360106327,0.661912439,0.979753586
0.461,1.36057605,0.662145322,0.979878222
0.462,1.360966542,0.662504652,0.980220778
0.463,1.361432102,0.662671711,0.98025921
0.464,1.362126172,0.663005756,0.980343847
0.465,1.362754435,0.663296053,0.980653552
0.466,1.363821443,0.663579874,0.981006732
0.467,1.364635768,0.663620846,0.981272188
0.468,1.365002191,0.663569006,0.981614725
0.469,1.365588756,0.663592311,0.981900027
0.47,1.366065454,0.663733843,0.982155971
0.471,1.366520369,0.66362579,0.984377699
0.472,1.367641838,0.663534974,0.984816736
0.473,1.368116079,0.663735122,0.985273878
0.474,1.368470217,0.663831701,0.988564901
0.475,1.369070481,0.663929426,0.989133159
0.476,1.369650409,0.663860112,0.993202438
0.477,1.370599363,0.664023427,0.993729359
0.478,1.371412817,0.66427762,0.995915426
0.479,1.372090953,0.6642138,0.99945703
0.48,1.372741147,0.664483308,0.999712193
0.481,1.37366391,0.664478285,1.000006913
0.482,1.378400711,0.664164321,1.000372125
0.483,1.379109109,0.663908924,1.000773663
0.484,1.382010938,0.66403149,1.00101527
0.485,1.382192939,0.664129086,1.001278787
0.486,1.383319697,0.664115709,1.001478495
0.487,1.383503364,0.664226383,1.001809132
0.488,1.383765794,0.664350231,1.002015795
0.489,1.390761112,0.664467869,1.002259608
0.49,1.391242781,0.664704749,1.002411163
0.491,1.392064852,0.664871224,1.0025339
0.492,1.392852925,0.664804963,1.002910161
0.493,1.393112608,0.664723867,1.003194606
0.494,1.39381816,0.664610017,1.003344483
0.495,1.394543923,0.664792204,1.003550913
0.496,1.395136649,0.664730078,1.003795929
0.497,1.395646274,0.664258177,1.004033434
0.498,1.402211628,0.66437769,1.004152801
0.499,1.403506473,0.664240323,1.004336442
0.5,1.403933853,0.664184132,1.004266449
0.501,1.404691489,0.663830767,1.004360481
0.502,1.405224926,0.663430104,1.004557785
0.503,1.406000396,0.663349064,1.005692814
0.504,1.406651104,0.663191797,1.00603727
0.505,1.407013132,0.662855242,1.006404224
0.506,1.407711078,0.662658579,1.006466422
0.507,1.408573775,0.662442938,1.006764243
0.508,1.409010782,0.662234283,1.007159029
0.509,1.409795949,0.662075274,1.008380109
0.51,1.409875049,0.661838564,1.008490111
0.511,1.410348685,0.661741133,1.008664712
0.512,1.410924333,0.661887319,1.008775997
0.513,1.41154679,0.661957507,1.009012878
0.514,1.412051454,0.661788435,1.009230812
0.515,1.412908062,0.661690753,1.009583102
0.516,1.413215345,0.661387405,1.009932446
0.517,1.413870431,0.661153102,1.010258503
0.518,1.414123969,0.661445903,1.010658135
0.519,1.414679362,0.661444215,1.011149703
0.52,1.415133083,0.661485898,1.011610649
0.521,1.415901711,0.66135772,1.012067251
0.522,1.416694935,0.661379767,1.012519642
0.523,1.417490004,0.661378016,1.013083356
0.524,1.417878903,0.661161067,1.013663631
0.525,1.418597231,0.661164707,1.013986006
0.526,1.419618638,0.661364749,1.0145164
0.527,1.420244396,0.661264381,1.014892277
0.528,1.420912132,0.661349578,1.015275498
0.529,1.421882577,0.661647291,1.015505292
0.53,1.422213348,0.661647677,1.015727221
0.531,1.42313186,0.661306855,1.016017007
0.532,1.423331869,0.661336782,1.016544541
0.533,1.424212685,0.661285945,1.016960982
0.534,1.424750533,0.661275709,1.017116252
0.535,1.425772269,0.66109391,1.01737518
0.536,1.426475659,0.661170479,1.017781345
0.537,1.426722479,0.66084853,1.018212084
0.538,1.427804425,0.6604308,1.018530963
0.539,1.428479335,0.660562978,1.018875726
0.54,1.429249122,0.660146744,1.019406455
0.541,1.429868332,0.660034294,1.019866413
0.542,1.430477953,0.65964765,1.020487347
0.543,1.43148046,0.659385966,1.020894103
0.544,1.432756204,0.659262915,1.021381445
0.545,1.433258893,0.659142449,1.021916106
0.546,1.433954556,0.658731791,1.022230008
0.547,1.435080696,0.658347235,1.022537609
0.548,1.435783053,0.658142403,1.023189146
0.549,1.436280505,0.657952552,1.023674599
0.55,1.436590822,0.657910976,1.024105881
0.551,1.437267589,0.657745676,1.02459654
0.552,1.437713466,0.657477467,1.025096005
0.553,1.43832688,0.657505514,1.025542943
0.554,1.439028419,0.657365352,1.026040717
0.555,1.439624248,0.657143268,1.026225817
0.556,1.440140618,0.657267106,1.026806419
0.557,1.440817735,0.657092387,1.027186463
0.558,1.441044635,0.656910669,1.027669144
0.559,1.44130015,0.656665801,1.027922274
0.56,1.44187339,0.65664981,1.02834548
0.561,1.442117471,0.65692655,1.028879398
0.562,1.442364636,0.657089261,1.029172532
0.563,1.443117599,0.656992088,1.029390286
0.564,1.443192408,0.656840812,1.029634961
0.565,1.443309028,0.656469675,1.029787259
0.566,1.444433791,0.656481737,1.029986
0.567,1.444663509,0.656558245,1.030103534
0.568,1.445232766,0.656603173,1.030350655
0.569,1.445165101,0.656608961,1.030447675
0.57,1.448435002,0.656376518,1.030510425
0.571,1.448605325,0.656222584,1.030658837
0.572,1.448675025,0.656177592,1.030757309
0.573,1.455640221,0.656659824,1.031065119
0.574,1.45567399,0.656706295,1.031170618
0.575,1.456115479,0.656643417,1.03125852
0.576,1.456368861,0.656441559,1.031354489
0.577,1.456473341,0.656531356,1.031282313
0.578,1.460796917,0.656544225,1.032359974
0.579,1.461088358,0.65658334,1.032332038
0.58,1.461473118,0.65667941,1.032280826
0.581,1.46160546,0.656625612,1.032226015
0.582,1.461900892,0.656504642,1.032454563
0.583,1.462526215,0.65633331,1.032470814
0.584,1.462934335,0.656323436,1.032432269
0.585,1.463010935,0.656873025,1.032625702
0.586,1.463573468,0.656734546,1.033021072
0.587,1.464185088,0.656630724,1.033157107
0.588,1.464309729,0.656661437,1.033270593
0.589,1.465060573,0.656802502,1.033615304
0.59,1.465191903,0.656693352,1.033948692
0.591,1.467810084,0.656735224,1.034225853
0.592,1.468268584,0.656954129,1.034572385
0.593,1.468944433,0.657323925,1.034824814
0.594,1.471598797,0.65754431,1.035022012
0.595,1.471847003,0.65777592,1.035115503
0.596,1.472208834,0.657942661,1.035391887
0.597,1.472263042,0.658124452,1.035650052
0.598,1.47268125,0.658300091,1.035782142
0.599,1.472995471,0.6584956,1.039887589
0.6,1.473497288,0.658577785,1.039931937
0.601,1.477639436,0.6588724,1.040089336
0.602,1.477954015,0.658992849,1.040072355
0.603,1.478819028,0.659345258,1.040354052
0.604,1.479023441,0.659577336,1.040723113
0.605,1.479243882,0.659860364,1.041034551
0.606,1.479763556,0.660070578,1.041413026
0.607,1.483509087,0.660325886,1.041762367
0.608,1.484044199,0.660510459,1.042030975
0.609,1.484275779,0.660753234,1.042213269
