Pose/Time (ns),ZINC000100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,ZINC000003932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,ZINC000077301904 PersScore 0.536 PoseScore 2.553 DockingScore -13.363,ZINC000003830434 PersScore 0.313 PoseScore 1.972 DockingScore -9.597,ZINC000004215255 PersScore 0.445 PoseScore 2.772 DockingScore -13.930,ZINC000095615286 PersScore 0.229 PoseScore 2.699 DockingScore -12.759,ZINC000150374455 PersScore 0.209 PoseScore 3.062 DockingScore -13.887,ZINC000008655696 PersScore 0.042 PoseScore 3.214 DockingScore -14.072
0.167,1.037296194,0.559029037,0.795867096,0.859978013,0.733344846,0.72262798,0.785531135,0.822946051,0.677370596
0.168,1.04495235,0.55991427,0.79670231,0.860689284,0.734150737,0.723839534,0.786272866,0.822882102,0.678573427
0.169,1.04553489,0.564861589,0.797838065,0.861285376,0.734829797,0.724876864,0.786595392,0.823314003,0.678926238
0.17,1.046714264,0.567625037,0.798856824,0.862253795,0.735420741,0.725526059,0.787247912,0.822956745,0.679733653
0.171,1.048487157,0.572557088,0.799913259,0.862877409,0.736528802,0.726358797,0.787508301,0.823370832,0.68031548
0.172,1.049885385,0.575899519,0.806466079,0.863750096,0.737195051,0.727348176,0.791356972,0.823869523,0.681096654
0.173,1.050996967,0.576325728,0.807364676,0.864355041,0.737968642,0.728259894,0.791988156,0.823774027,0.681581358
0.174,1.052366078,0.577194963,0.808567518,0.865055523,0.738766511,0.729023541,0.792495115,0.82460941,0.682791714
0.175,1.053057216,0.577495382,0.809586634,0.865702224,0.739273873,0.729809449,0.793101242,0.8252881,0.682825876
0.176,1.053763744,0.578432203,0.810427003,0.866553068,0.739892942,0.730851327,0.793669487,0.82559724,0.682848646
0.177,1.054253466,0.579222627,0.810993449,0.867132212,0.740550105,0.732094196,0.794383983,0.826141693,0.682637194
0.178,1.055679664,0.579700602,0.811794742,0.867799396,0.741326553,0.733057082,0.795021384,0.826446848,0.682917699
0.179,1.056738848,0.580339801,0.812286345,0.868715685,0.741752911,0.734085213,0.795441119,0.827145907,0.682956598
0.18,1.063883884,0.58109115,0.812775458,0.869799656,0.741956233,0.735037534,0.796136552,0.82748096,0.683676284
0.181,1.064483292,0.581334955,0.813138926,0.876032934,0.742178765,0.735790206,0.796932763,0.828215897,0.683983254
0.182,1.065310959,0.581469237,0.813322885,0.876981502,0.74202076,0.737146391,0.798062766,0.828190641,0.684382955
