projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-1.114, -0.488
-0.964, -0.319
-1.152, -0.311
-1.420, 0.099
-1.507, -0.645
-1.743, -0.657
-1.465, -0.130
-1.455, 0.194
-1.651, -0.213
-1.623, -0.080
-1.643, -0.936
-1.461, -0.443
-0.949, -0.554
-0.956, -0.714
-1.249, -0.306
-1.308, -0.023
-1.628, -0.208
-1.229, 0.596
-1.221, -0.003
-1.332, -0.313
-0.801, -0.330
-1.135, -0.215
-0.432, -0.416
-0.728, 0.384
-1.427, 0.210
-1.050, -0.147
-0.837, 1.035
-1.171, 0.971
-1.623, 0.922
-1.370, 0.088
-1.348, -1.071
-0.705, -0.830
-0.417, -0.138
-1.024, -0.769
-0.899, -0.847
-1.137, -0.341
-0.385, -0.140
-1.019, -0.324
-0.798, -0.989
-0.864, -0.611
-1.238, -0.323
-1.425, -0.644
-1.573, -0.379
-1.209, -0.202
-1.153, -1.178
-1.228, 0.515
-1.623, 0.912
-1.437, 0.070
-1.420, 0.759
-1.436, 1.234
-1.265, 0.357
-1.573, 0.464
-1.499, 0.439
-1.179, -0.020
-1.513, 0.110
-1.304, -0.001
-1.265, 0.053
-1.296, 0.393
-1.271, -0.325
-0.681, 0.002
-1.160, -0.637
-1.221, -0.095
-0.951, 0.095
-1.170, 0.377
-1.244, 0.204
-1.213, 0.009
-1.002, 0.282
-1.354, -0.052
-1.329, 0.318
-0.835, 1.171
-1.451, 0.372
-1.520, 0.649
-1.073, 0.444
-1.456, 1.069
-1.728, 1.127
-1.247, 1.331
-1.086, 0.994
-0.871, 0.435
-0.941, -0.433
-0.499, -0.777
-1.197, -0.516
-1.214, -0.313
-1.219, -1.298
-1.203, -0.583
-0.700, -0.464
-0.553, -0.643
-0.679, -0.603
-0.426, -0.251
-1.181, -0.218
-0.774, 0.018
-0.776, -0.371
-0.424, 0.288
-0.618, -0.363
-1.003, -0.549
-0.946, -0.756
-0.866, -0.389
-0.548, 0.039
-0.753, -0.929
-1.031, -0.664
-0.472, 0.107
0.124, -0.180
-0.269, -0.539
-0.408, -0.507
-0.221, 0.252
-0.173, 1.968
-0.630, 0.505
-0.603, 0.179
-0.648, 0.376
-0.817, 0.560
-0.589, 0.857
-0.970, 0.747
-0.705, 1.053
-0.768, 0.680
-0.981, 0.246
