projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-1.534, -1.079
-1.429, -1.002
-1.906, -1.225
-1.974, -1.084
-1.904, -1.184
-1.948, -1.155
-1.337, -1.227
-1.678, -0.916
-1.721, -1.170
-1.650, -1.299
-1.567, -1.425
-1.706, -1.276
-1.855, -1.201
-1.544, -1.378
-1.708, -1.170
-2.210, -0.892
-1.806, -1.091
-1.271, -1.322
-1.550, -1.206
-1.612, -1.296
-1.444, -1.450
-0.857, -1.372
-1.572, -1.479
-1.353, -1.398
-1.111, -1.922
-1.610, -1.310
-1.058, -1.475
-1.495, -1.670
-0.612, -2.189
-1.239, -1.847
-1.618, -1.531
-1.492, -1.703
-1.521, -1.852
-0.769, -2.080
-0.880, -2.255
-0.574, -2.417
-1.009, -2.055
-1.343, -1.941
-0.921, -1.779
-0.900, -1.753
-1.121, -1.237
-0.699, -2.127
-0.773, -1.583
-0.881, -2.010
-1.600, -1.498
-2.288, -1.215
-2.506, -0.937
-2.066, -0.990
-1.982, -1.380
-1.876, -1.478
-1.899, -1.214
-1.786, -1.220
-0.977, -1.646
-1.302, -1.457
-0.836, -2.042
-0.992, -1.767
-0.966, -1.741
-1.306, -1.455
-1.025, -1.578
-1.122, -1.407
-1.246, -1.571
-1.271, -0.914
-1.864, -0.669
-1.866, -0.888
-2.016, -0.965
-1.562, -0.877
-1.248, -1.216
-1.145, -1.603
-1.257, -1.714
-1.592, -1.379
-1.154, -1.394
-0.557, -1.517
-1.361, -1.715
-1.766, -1.651
-0.968, -1.961
-1.070, -2.184
-0.305, -2.296
-0.670, -1.989
-0.805, -2.131
-1.017, -1.851
-1.173, -1.973
-1.102, -1.967
0.061, -2.449
-0.268, -2.722
0.652, -2.782
0.087, -2.227
-0.407, -2.081
-0.065, -2.411
-0.859, -1.929
-0.998, -1.703
-1.282, -1.486
-1.233, -1.439
-1.170, -1.859
-1.912, -1.394
-1.472, -1.480
-0.902, -1.916
-0.511, -2.151
-1.447, -1.690
-1.734, -1.564
-0.910, -2.149
-1.267, -1.946
-1.216, -1.786
-1.365, -1.895
-1.375, -1.932
-1.430, -1.527
-1.380, -1.291
-1.274, -1.517
-1.657, -1.222
-1.740, -1.373
-1.201, -1.693
-1.800, -1.079
-1.747, -1.182
-1.472, -1.611
-1.640, -1.437
-1.644, -1.423
-1.623, -1.327
-1.048, -1.750
-0.707, -1.501
-0.828, -1.384
-0.986, -1.696
-0.837, -1.890
-0.574, -1.817
-0.620, -1.603
-0.314, -1.853
-0.188, -1.941
0.121, -1.605
0.021, -1.815
-0.479, -1.713
-0.450, -1.736
-1.046, -1.653
-0.775, -1.670
-0.424, -1.762
-0.255, -2.097
-0.734, -1.342
-0.759, -1.579
-0.622, -1.205
-0.688, -1.425
-1.028, -1.375
-0.973, -1.664
-1.012, -1.486
-1.256, -0.921
-0.088, -1.394
-0.542, -1.586
-0.401, -1.627
-0.678, -1.596
-0.373, -1.729
-0.953, -1.600
-0.503, -1.777
-0.582, -1.832
0.222, -1.957
0.591, -1.786
0.185, -1.733
0.135, -1.307
0.757, -2.024
-0.257, -1.939
-0.318, -2.133
0.131, -2.154
-0.555, -2.104
-1.135, -1.730
-1.152, -1.374
-0.819, -1.526
-0.757, -1.757
0.114, -2.234
-0.752, -1.476
-0.814, -1.514
-0.259, -1.849
-0.574, -1.435
-0.382, -1.336
0.515, -1.695
-0.237, -1.526
0.094, -1.710
-0.670, -1.463
-0.495, -1.321
-1.063, -1.288
-0.211, -1.422
-0.347, -1.361
0.142, -1.462
-0.186, -1.242
-0.309, -1.310
-0.820, -1.420
-0.436, -1.696
-0.784, -1.612
-0.874, -1.727
-0.649, -1.315
-0.881, -1.449
-0.652, -1.160
-0.910, -1.284
-0.990, -1.233
-1.126, -1.809
-0.551, -1.843
-0.401, -1.612
-1.342, -1.421
-1.665, -1.179
-1.417, -0.968
-1.657, -1.314
-0.704, -1.495
-1.117, -1.275
-0.942, -1.540
-0.587, -1.441
-1.001, -1.330
-0.747, -1.690
-0.896, -1.806
-1.006, -1.500
-1.637, -1.405
-1.426, -1.704
-1.274, -1.594
-0.881, -1.583
-1.398, -1.854
-1.996, -1.535
-1.691, -1.548
-0.228, -2.223
-0.818, -2.194
-0.958, -1.759
-0.666, -1.904
0.140, -2.238
0.280, -2.356
0.285, -2.664
0.393, -2.277
-0.398, -2.221
-0.497, -1.413
-0.222, -1.396
-0.781, -1.511
-0.887, -1.519
-0.625, -1.409
-1.359, -0.760
-0.835, -1.457
-0.694, -1.528
-1.000, -0.844
-1.407, -0.642
-0.979, -1.076
-0.755, -1.358
-0.265, -1.463
-0.446, -1.638
-0.119, -1.446
0.271, -1.880
0.107, -1.851
-0.073, -1.589
0.047, -1.743
-0.528, -1.620
-0.164, -1.980
-0.442, -2.089
-0.563, -1.797
-0.219, -2.128
0.544, -2.271
-0.344, -2.187
-0.323, -1.938
-0.345, -1.700
-0.858, -1.402
-0.803, -1.387
-1.258, -1.249
-0.853, -1.424
-0.620, -1.678
-1.394, -1.724
