Time (ps), RMSD (nm)
141.200, 0.117
141.300, 0.116
141.400, 0.125
141.500, 0.125
141.600, 0.118
141.700, 0.121
141.800, 0.125
141.900, 0.133
142.000, 0.118
142.100, 0.126
142.200, 0.121
142.300, 0.120
142.400, 0.116
142.500, 0.123
142.600, 0.124
142.700, 0.122
142.800, 0.120
142.900, 0.119
143.000, 0.125
143.100, 0.123
143.200, 0.116
143.300, 0.120
143.400, 0.123
143.500, 0.124
143.600, 0.121
143.700, 0.134
143.800, 0.133
143.900, 0.123
144.000, 0.127
144.100, 0.132
144.200, 0.133
144.300, 0.117
144.400, 0.112
144.500, 0.122
144.600, 0.117
144.700, 0.122
144.800, 0.119
144.900, 0.127
145.000, 0.122
145.100, 0.120
145.200, 0.109
145.300, 0.118
145.400, 0.120
145.500, 0.125
145.600, 0.123
145.700, 0.130
145.800, 0.122
145.900, 0.122
146.000, 0.119
146.100, 0.123
146.200, 0.134
146.300, 0.127
146.400, 0.124
146.500, 0.121
146.600, 0.130
146.700, 0.123
146.800, 0.120
146.900, 0.123
147.000, 0.131
147.100, 0.117
147.200, 0.128
147.300, 0.129
147.400, 0.121
147.500, 0.125
147.600, 0.124
147.700, 0.124
147.800, 0.127
147.900, 0.122
148.000, 0.132
148.100, 0.123
148.200, 0.130
148.300, 0.129
148.400, 0.132
148.500, 0.126
148.600, 0.128
148.700, 0.122
148.800, 0.123
148.900, 0.123
149.000, 0.121
149.100, 0.123
149.200, 0.124
149.300, 0.125
149.400, 0.130
149.500, 0.125
149.600, 0.121
149.700, 0.117
149.800, 0.123
149.900, 0.125
150.000, 0.129
150.100, 0.132
150.200, 0.125
150.300, 0.124
150.400, 0.121
150.500, 0.125
150.600, 0.129
150.700, 0.125
150.800, 0.125
150.900, 0.128
151.000, 0.120
151.100, 0.122
151.200, 0.122
151.300, 0.129
151.400, 0.129
151.500, 0.131
151.600, 0.136
151.700, 0.133
151.800, 0.125
151.900, 0.134
152.000, 0.131
152.100, 0.124
152.200, 0.126
152.300, 0.126
152.400, 0.125
152.500, 0.128
152.600, 0.118
152.700, 0.124
152.800, 0.131
152.900, 0.127
153.000, 0.134
153.100, 0.136
153.200, 0.132
153.300, 0.129
153.400, 0.139
153.500, 0.132
153.600, 0.130
153.700, 0.129
153.800, 0.130
153.900, 0.124
154.000, 0.127
154.100, 0.119
154.200, 0.129
154.300, 0.128
154.400, 0.127
154.500, 0.116
154.600, 0.114
