projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.654, -0.441
0.687, -0.264
1.145, -0.586
0.937, -0.838
0.992, -1.131
0.789, -0.747
0.547, -1.124
0.829, -1.085
0.681, -0.762
0.761, -0.305
0.842, -0.648
0.398, 0.012
0.974, -0.553
0.824, -0.800
0.391, -0.641
0.461, -0.568
0.533, -0.450
0.860, -0.031
0.618, -0.087
0.559, -0.304
0.436, 0.418
0.448, 0.465
0.539, 0.289
0.262, -0.151
0.296, -0.313
0.290, -0.244
0.693, -0.036
0.605, -0.549
0.779, -0.662
0.671, -0.375
0.917, -0.292
0.695, -0.609
0.728, -1.022
0.763, -0.648
0.988, -0.386
0.799, -0.446
0.851, -0.315
0.593, -0.197
0.847, -0.873
0.828, 0.048
0.495, 0.290
0.373, -0.203
0.635, 0.500
1.298, 0.459
1.024, 0.014
1.002, -0.101
0.600, -0.024
0.720, 0.070
0.731, -0.121
0.447, -0.263
0.759, -0.407
0.682, -0.407
0.427, -0.379
0.470, -0.263
0.143, -0.590
0.524, -0.385
0.387, -0.391
0.421, -0.463
0.296, -0.217
0.630, -0.321
0.571, 0.014
0.788, -0.309
0.859, -0.183
0.695, 0.184
0.635, -0.498
0.580, -0.004
0.534, -0.183
0.508, 0.275
0.599, 0.277
0.402, 0.607
0.609, 0.367
0.477, -0.124
0.710, -0.380
0.892, -0.690
0.809, -0.667
0.634, -0.542
0.462, -1.152
0.434, -0.633
0.699, -0.368
0.412, -0.452
0.567, -0.303
0.299, -0.180
0.282, -0.282
0.740, -0.313
0.280, -0.359
0.525, -0.066
0.673, -0.505
0.319, -0.451
0.407, -0.581
0.498, -0.460
0.526, 0.267
0.415, -0.575
0.700, -0.596
0.959, 0.024
0.873, -0.358
0.699, -0.409
0.461, -0.204
0.624, 0.244
0.819, 1.115
0.899, 0.257
0.817, -0.177
0.814, -0.142
0.728, -0.083
0.629, 0.139
0.905, -0.071
0.751, -0.006
0.797, -0.368
0.481, -0.413
0.645, -0.253
0.761, -0.721
0.421, -0.630
0.383, -0.216
0.508, -0.095
0.278, 0.066
0.518, 0.146
0.557, 0.038
0.658, 0.191
0.708, -0.009
0.464, 0.321
0.622, 0.739
0.396, 0.277
0.802, 0.151
0.580, 0.105
0.578, -0.354
0.431, -0.040
0.741, -0.004
0.436, -0.117
0.435, -0.300
0.379, 0.042
0.729, 0.062
0.842, -0.020
0.335, 0.317
0.510, 0.409
0.721, 0.742
0.433, 0.518
0.683, -0.097
0.893, -0.086
0.967, -0.815
0.619, -0.825
0.961, -0.166
0.803, -0.358
0.741, 0.365
0.983, 0.014
0.862, 0.167
0.736, 0.288
0.411, 0.280
0.391, -0.113
0.329, -0.231
0.296, -0.336
0.410, 0.297
0.494, 0.572
0.563, 0.097
0.615, -0.322
0.499, 0.460
0.628, -0.012
0.716, 0.056
0.610, -0.696
0.574, -0.030
0.260, 0.217
0.249, 0.340
0.285, -0.126
0.459, -0.223
0.247, 0.336
0.267, 0.197
0.152, 0.201
0.175, 0.068
0.335, -0.537
0.513, -0.363
0.525, 0.177
0.297, -0.116
0.466, 0.514
0.245, 0.346
0.540, 0.659
0.501, 0.431
0.626, 0.607
0.734, 0.031
0.587, -0.121
0.661, 0.071
0.406, 0.571
0.555, 0.287
0.478, -0.067
0.670, 0.380
0.452, -0.008
0.489, -0.307
0.447, -0.382
0.566, -0.430
0.239, -0.385
0.450, -0.300
0.407, -0.418
0.279, -0.129
0.289, -0.406
0.264, -0.165
0.242, -0.553
0.059, -0.419
0.423, -0.261
0.412, -0.260
0.509, -0.487
0.651, -0.379
0.583, -0.235
0.405, 0.195
0.531, 0.246
0.567, 0.147
0.689, -0.063
0.767, 0.072
0.388, 0.311
0.390, -0.359
0.292, 0.007
0.384, -0.020
0.515, 0.384
0.377, 0.030
0.583, 0.003
0.660, -0.124
0.566, -0.219
0.541, -0.026
0.575, -0.199
0.388, 0.180
0.371, 0.145
0.277, 0.159
0.354, 0.315
0.319, 0.092
0.620, -0.161
0.415, -0.071
0.732, -0.265
0.485, -0.238
0.731, 0.022
0.560, 0.139
0.803, -0.164
0.603, 0.078
0.485, -0.617
0.479, -0.713
0.286, -0.201
0.394, -0.225
0.256, 0.059
0.510, 0.438
0.237, -0.051
0.276, 0.069
0.410, -0.465
0.518, -0.437
0.439, -0.384
0.649, -0.107
0.566, 0.101
0.580, 0.163
0.444, 0.035
0.487, 0.111
0.450, -0.091
0.413, 0.211
0.535, 0.152
0.368, 0.047
0.534, -0.353
0.455, -0.459
0.489, -0.600
0.249, -0.210
0.418, -0.241
0.608, -0.031
0.557, -0.069
0.484, -0.652
0.702, -0.583
0.446, 0.064
0.351, -0.115
0.609, -0.131
0.283, -0.418
0.248, -0.314
0.576, 0.109
0.421, -0.316
0.701, 0.075
0.632, 0.076
0.437, -0.038
0.368, 0.207
0.514, -0.104
0.517, -0.085
0.490, -0.011
0.349, -0.393
0.520, -0.213
0.696, -0.678
0.538, -0.385
0.444, -0.640
0.539, -0.470
0.469, -0.819
0.531, -0.438
0.740, -0.292
0.649, -0.616
0.626, -0.627
0.466, -0.806
0.454, -0.963
0.402, -0.816
0.783, -0.690
0.705, -0.680
0.523, -1.006
0.677, -0.848
0.568, -0.326
0.838, -0.934
0.407, -0.713
0.500, -0.388
0.455, -0.131
0.407, -0.027
0.730, -0.240
0.428, -0.538
0.709, -0.329
0.836, -0.545
0.480, -0.755
0.325, -0.376
0.305, -0.338
0.378, -0.590
0.529, -0.197
0.471, -0.289
0.531, -0.421
0.612, -0.590
0.713, -0.552
0.439, -0.124
0.668, -0.578
0.768, -0.491
0.749, -0.366
0.664, -0.427
0.604, -0.250
0.760, -0.070
0.428, -0.329
0.454, -0.475
0.880, -0.744
0.798, -1.001
0.444, -0.869
0.667, -0.787
0.904, -0.576
0.827, -0.483
0.750, -0.312
0.783, -0.618
0.624, -0.627
0.776, -0.244
0.572, 0.016
0.479, -0.639
0.143, -0.183
0.261, -0.352
0.459, -0.646
0.444, -0.489
0.520, -0.271
0.335, -0.357
0.339, 0.369
0.034, 0.497
0.244, -0.069
0.509, -0.208
0.109, -0.444
0.253, -0.391
0.103, 0.099
0.507, -0.635
0.190, -0.457
0.011, -0.149
0.108, 0.200
-0.087, 0.377
0.149, 0.226
0.043, 0.011
0.097, 0.342
0.211, -0.241
0.166, 0.245
0.279, 0.491
0.526, 0.627
0.396, 0.122
0.134, 0.108
0.480, 0.456
0.440, 0.312
0.742, -0.224
0.542, -0.482
0.396, -0.185
0.500, 0.291
0.411, 0.528
0.532, 0.747
0.105, 0.667
0.619, -0.059
0.481, 0.031
0.332, 0.455
0.358, 0.293
0.224, -0.070
0.363, 0.641
0.472, 0.440
0.280, 0.300
0.299, -0.187
0.559, -0.288
0.458, -0.265
0.350, -0.008
0.505, 0.048
0.237, 0.321
0.385, 0.455
0.531, 0.458
0.492, -0.188
0.431, 0.274
0.473, 0.245
0.698, 0.093
0.410, 0.281
0.763, 0.454
0.663, 0.159
0.557, 0.237
0.628, 0.358
0.441, 0.089
0.325, 0.189
0.396, -0.200
0.187, 0.018
0.414, 0.147
0.371, 0.276
0.558, 0.247
0.123, 0.720
0.355, 0.703
0.331, 0.426
0.343, 0.298
0.365, 0.245
0.381, 0.272
0.225, -0.120
0.227, 0.368
0.410, 0.334
0.307, 0.318
0.138, 0.113
0.158, -0.322
0.134, -0.105
0.289, 0.148
0.073, -0.115
0.086, -0.297
0.306, -0.198
0.230, 0.159
0.293, -0.064
0.281, 0.368
0.106, 0.362
0.060, 0.131
0.229, 0.035
0.346, 0.308
0.307, 0.436
0.184, 0.065
0.142, -0.205
0.244, 0.150
0.220, 0.115
0.062, 0.285
0.221, -0.257
-0.170, 0.185
0.227, -0.074
0.075, 0.380
0.070, 0.119
0.325, 0.569
0.326, 0.398
0.400, -0.392
0.249, 0.560
0.285, -0.033
0.065, 0.222
0.254, -0.332
0.456, -0.239
0.131, -0.333
0.342, -0.684
0.193, -0.354
0.035, -0.391
0.114, 0.047
0.302, 0.308
0.134, 0.294
