projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.203, 0.288
-0.381, 0.094
-0.338, 0.205
-0.445, -0.292
-0.349, -0.219
-0.504, -0.088
-0.333, 0.013
-0.225, 0.295
-0.341, 0.722
0.060, 0.670
-0.197, 0.397
-0.069, 0.479
0.097, 0.388
-0.371, 0.386
-0.158, 0.494
-0.568, -0.008
-0.308, 0.225
-0.428, 0.139
-0.206, 0.235
-0.285, 0.262
-0.402, 0.564
-0.568, -0.216
-0.265, 0.453
-0.476, 0.572
-0.407, 0.235
-0.696, -0.300
-0.350, 0.064
-0.364, -0.056
-0.394, -0.030
-0.297, -0.028
-0.154, 0.061
-0.334, -0.130
-0.531, -0.040
-0.505, -0.194
-0.536, -0.016
-0.524, 0.206
-0.552, -0.013
-0.598, -0.267
-0.441, -0.291
-0.621, -0.187
-0.164, 0.393
0.019, 0.439
-0.198, 0.228
-0.232, 0.335
-0.159, 0.542
-0.340, 0.326
-0.212, 0.049
-0.532, 0.028
-0.573, -0.412
-0.458, -0.201
-0.163, 0.102
-0.197, 0.407
0.007, 0.570
0.151, 0.836
0.056, 1.037
-0.167, 0.729
-0.406, 0.363
-0.170, 0.144
-0.423, 0.145
-0.450, 0.035
-0.685, -0.224
-0.449, 0.007
-0.412, -0.550
-0.392, -0.294
-0.330, -0.003
-0.334, -0.035
-0.376, -0.033
-0.386, -0.129
-0.457, 0.008
-0.571, -0.063
-0.382, -0.242
-0.394, -0.437
-0.428, -0.240
-0.554, -0.423
-0.641, -0.232
-0.443, -0.170
-0.388, -0.310
-0.797, -0.749
-0.591, -0.447
-0.364, 0.095
-0.835, -0.886
-0.393, -0.165
-0.650, -0.249
-0.676, -0.151
-1.027, -0.176
-0.822, 0.011
-0.729, 0.123
-0.706, -0.183
-0.630, -0.045
-0.583, -0.200
-0.457, -0.145
-0.864, -0.224
-0.786, -0.161
-1.023, -0.204
-1.091, -0.681
-0.951, -0.549
-0.843, -0.172
-0.893, -0.125
-0.558, -0.436
-0.808, -0.768
-0.662, -0.344
-0.433, 0.025
-0.495, -0.409
-0.433, -0.113
-0.352, 0.055
-0.451, -0.199
-0.315, 0.140
-0.445, -0.139
-0.441, -0.181
-0.343, 0.285
-0.564, -0.097
-0.210, 0.576
-0.252, 0.400
-0.690, -0.225
-0.566, -0.278
-0.323, -0.047
-0.504, -0.502
